x,sinx
0.001,0.841470985
0.002,0.909297427
0.003,0.141120008
0.004,-0.756802495
0.005,-0.958924275
0.006,-0.279415498
0.007,0.656986599
0.008,0.989358247
0.009,0.412118485
0.01,-0.544021111
0.011,-0.999990207
0.012,-0.536572918
0.013,0.420167037
0.014,0.990607356
0.015,0.65028784
0.016,-0.287903317
0.017,-0.961397492
0.018,-0.750987247
0.019,0.14987721
0.02,0.912945251
0.021,0.836655639
0.022,-0.008851309
0.023,-0.846220404
0.024,-0.905578362
0.025,-0.13235175
0.026,0.76255845
0.027,0.956375928
0.028,0.270905788
0.029,-0.663633884
0.03,-0.988031624
0.031,-0.404037645
0.032,0.551426681
0.033,0.99991186
0.034,0.529082686
0.035,-0.428182669
0.036,-0.991778853
0.037,-0.643538133
0.038,0.296368579
0.039,0.963795386
0.04,0.74511316
0.041,-0.158622669
0.042,-0.916521548
0.043,-0.831774743
0.044,0.017701925
0.045,0.850903525
0.046,0.901788348
0.047,0.123573123
0.048,-0.768254661
0.049,-0.953752653
0.05,-0.262374854
0.051,0.670229176
0.052,0.986627592
0.053,0.39592515
0.054,-0.558789049
0.055,-0.999755173
0.056,-0.521551002
0.057,0.436164755
0.058,0.992872648
0.059,0.636738007
0.06,-0.304810621
0.061,-0.96611777
0.062,-0.739180697
0.063,0.1673557
0.064,0.920026038
0.065,0.826828679
0.066,-0.026551154
0.067,-0.855519979
0.068,-0.897927681
0.069,-0.114784814
0.07,0.773890682
0.071,0.951054653
0.072,0.253823363
0.073,-0.676771957
0.074,-0.98514626
0.075,-0.387781635
0.076,0.566107637
0.077,0.999520159
0.078,0.513978456
0.079,-0.444112669
0.08,-0.993888654
0.081,-0.629887994
0.082,0.313228782
0.083,0.968364461
0.084,0.73319032
0.085,-0.17607562
0.086,-0.923458447
0.087,-0.821817837
0.088,0.035398303
0.089,0.860069406
0.09,0.893996664
0.091,0.105987512
0.092,-0.77946607
0.093,-0.948282141
0.094,-0.245251985
0.095,0.683261715
0.096,0.983587745
0.097,0.379607739
0.098,-0.573381872
0.099,-0.999206834
0.1,-0.506365641
0.101,0.452025787
0.102,0.994826791
0.103,0.622988631
0.104,-0.321622403
0.105,-0.970535284
0.106,-0.7271425
0.107,0.184781745
0.108,0.926818505
0.109,0.816742607
0.11,-0.044242678
0.111,-0.864551449
0.112,-0.889995604
0.113,-0.097181906
0.114,0.784980389
0.115,0.945435334
0.116,0.236661393
0.117,-0.689697941
0.118,-0.981952169
0.119,-0.371404101
0.12,0.580611184
0.121,0.998815225
0.122,0.498713154
0.123,-0.459903491
0.124,-0.995686987
0.125,-0.616040459
0.126,0.329990826
0.127,0.972630067
0.128,0.721037711
0.129,-0.193473392
0.13,-0.93010595
0.131,-0.811603387
0.132,0.053083587
0.133,0.868965756
0.134,0.885924816
0.135,0.088368686
0.136,-0.790433207
0.137,-0.942514455
0.138,-0.22805226
0.139,0.696080131
0.14,0.980239659
0.141,0.363171365
0.142,-0.587795007
0.143,-0.998345361
0.144,-0.491021594
0.145,0.467745162
0.146,0.996469173
0.147,0.609044022
0.148,-0.338333394
0.149,-0.974648648
0.15,-0.71487643
0.151,0.202149881
0.152,0.933320524
0.153,0.806400581
0.154,-0.061920337
0.155,-0.873311983
0.156,-0.881784619
0.157,-0.079548543
0.158,0.795824097
0.159,0.939519732
0.16,0.219425258
0.161,-0.702407786
0.162,-0.978450351
0.163,-0.354910176
0.164,0.594932778
0.165,0.997797279
0.166,0.483291564
0.167,-0.475550187
0.168,-0.997173289
0.169,-0.601999868
0.17,0.346649455
0.171,0.976590868
0.172,0.70865914
0.173,-0.210810533
0.174,-0.936461974
0.175,-0.801134595
0.176,0.070752236
0.177,0.877589788
0.178,0.877575336
0.179,0.070722167
0.18,-0.801152636
0.181,-0.9364514
0.182,-0.210781066
0.183,0.708680408
0.184,0.976584383
0.185,0.34662118
0.186,-0.602023938
0.187,-0.997171023
0.188,-0.475523669
0.189,0.483317954
0.19,0.997799279
0.191,0.594908548
0.192,-0.354938358
0.193,-0.978456575
0.194,-0.702386329
0.195,0.219454668
0.196,0.939530056
0.197,0.795805843
0.198,-0.079578592
0.199,-0.881798836
0.2,-0.873297297
0.201,-0.061890251
0.202,0.806418407
0.203,0.9333097
0.204,0.202120359
0.205,-0.714897508
0.206,-0.974641903
0.207,-0.338305028
0.208,0.60906793
0.209,0.996466642
0.21,0.467718518
0.211,-0.491047854
0.212,-0.998347094
0.213,-0.58777062
0.214,0.363199451
0.215,0.980245622
0.216,0.696058488
0.217,-0.228081609
0.218,-0.942524527
0.219,-0.790414741
0.22,0.088398712
0.221,0.885938798
0.222,0.868950838
0.223,0.053053485
0.224,-0.811620997
0.225,-0.930094878
0.226,-0.193443817
0.227,0.721058597
0.228,0.972623062
0.229,0.32996237
0.23,-0.616064204
0.231,-0.99568419
0.232,-0.459876723
0.233,0.498739282
0.234,0.998816691
0.235,0.580586641
0.236,-0.371432089
0.237,-0.98195787
0.238,-0.689676113
0.239,0.236690681
0.24,0.945445155
0.241,0.784961713
0.242,-0.097211908
0.243,-0.890009349
0.244,-0.864536299
0.245,-0.044212563
0.246,0.81676
0.247,0.926807186
0.248,0.184752119
0.249,-0.727163193
0.25,-0.97052802
0.251,-0.32159386
0.252,0.623012211
0.253,0.994823729
0.254,0.451998898
0.255,-0.506391635
0.256,-0.999208034
0.257,-0.573357175
0.258,0.379635627
0.259,0.983593184
0.26,0.683239704
0.261,-0.245281209
0.262,-0.94829171
0.263,-0.779447185
0.264,0.106017486
0.265,0.89401017
0.266,0.860054026
0.267,0.035368177
0.268,-0.821835011
0.269,-0.92344688
0.27,-0.176045946
0.271,0.733210819
0.272,0.968356938
0.273,0.313200155
0.274,-0.629911407
0.275,-0.993885326
0.276,-0.44408566
0.277,0.514004314
0.278,0.999521092
0.279,0.566082788
0.28,-0.387809421
0.281,-0.985151436
0.282,-0.676749765
0.283,0.25385252
0.284,0.951063968
0.285,0.77387159
0.286,-0.114814759
0.287,-0.897940948
0.288,-0.855504371
0.289,-0.02652102
0.29,0.826845634
0.291,0.920014225
0.292,0.167325981
0.293,-0.739200999
0.294,-0.966109989
0.295,-0.304781911
0.296,0.636761251
0.297,0.992869055
0.298,0.436137629
0.299,-0.521576722
0.3,-0.99975584
0.301,-0.55876405
0.302,0.395952831
0.303,0.986632505
0.304,0.670206804
0.305,-0.262403942
0.306,-0.953761713
0.307,-0.768235364
0.308,0.123603036
0.309,0.901801375
0.31,0.850887689
0.311,0.017671785
0.312,-0.831791476
0.313,-0.91650949
0.314,-0.158592906
0.315,0.745133265
0.316,0.963787348
0.317,0.296339788
0.318,-0.643561206
0.319,-0.991774996
0.32,-0.428155428
0.321,0.529108265
0.322,0.99991226
0.323,0.551401534
0.324,-0.404065219
0.325,-0.988036273
0.326,-0.663611334
0.327,0.270934805
0.328,0.956384734
0.329,0.762538949
0.33,-0.132381629
0.331,-0.905591148
0.332,-0.846204342
0.333,-0.008821166
0.334,0.836672149
0.335,0.912932949
0.336,0.149847406
0.337,-0.751007151
0.338,-0.961389197
0.339,-0.287874449
0.34,0.65031074
0.341,0.990603233
0.342,0.420139682
0.343,-0.536598355
0.344,-0.99999034
0.345,-0.543995817
0.346,0.41214595
0.347,0.989362632
0.348,0.656963873
0.349,-0.279444442
0.35,-0.958932825
0.351,-0.756782791
0.352,0.141149851
0.353,0.909309971
0.354,0.841454697
0.355,-3.01444E-05
0.356,-0.841487271
0.357,-0.909284882
0.358,-0.141090165
0.359,0.756822199
0.36,0.958915723
0.361,0.279386554
0.362,-0.657009324
0.363,-0.98935386
0.364,-0.41209102
0.365,0.544046404
0.366,0.999990073
0.367,0.53654748
0.368,-0.420194391
0.369,-0.990611477
0.37,-0.65026494
0.371,0.287932185
0.372,0.961405786
0.373,0.750967342
0.374,-0.149907013
0.375,-0.912957552
0.376,-0.836639127
0.377,0.008881452
0.378,0.846236466
0.379,0.905565575
0.38,0.132321871
0.381,-0.762577951
0.382,-0.956367122
0.383,-0.270876771
0.384,0.663656434
0.385,0.988026974
0.386,0.404010071
0.387,-0.551451828
0.388,-0.999911459
0.389,-0.529057106
0.39,0.428209911
0.391,0.99178271
0.392,0.64351506
0.393,-0.296397369
0.394,-0.963803424
0.395,-0.745093056
0.396,0.158652431
0.397,0.916533605
0.398,0.831758009
0.399,-0.017732065
0.4,-0.85091936
0.401,-0.90177532
0.402,-0.123543209
0.403,0.768273958
0.404,0.953743591
0.405,0.262345765
0.406,-0.670251547
0.407,-0.986622678
0.408,-0.395897469
0.409,0.558814048
0.41,0.999754506
0.411,0.521525282
0.412,-0.436191881
0.413,-0.99287624
0.414,-0.636714763
0.415,0.304839331
0.416,0.96612555
0.417,0.739160394
0.418,-0.167385419
0.419,-0.92003785
0.42,-0.826811724
0.421,0.026581288
0.422,0.855535586
0.423,0.897914412
0.424,0.114754869
0.425,-0.773909772
0.426,-0.951045338
0.427,-0.253794206
0.428,0.676794149
0.429,0.985141084
0.43,0.38775385
0.431,-0.566132486
0.432,-0.999519224
0.433,-0.513952598
0.434,0.444139677
0.435,0.993891981
0.436,0.629864581
0.437,-0.31325741
0.438,-0.968371983
0.439,-0.733169821
0.44,0.176105293
0.441,0.923470013
0.442,0.821800662
0.443,-0.035428428
0.444,-0.860084784
0.445,-0.893983156
0.446,-0.105957537
0.447,0.779484953
0.448,0.948272572
0.449,0.245222762
0.45,-0.683283725
0.451,-0.983582306
0.452,-0.379579851
0.453,0.573406569
0.454,0.999205633
0.455,0.506339647
0.456,-0.452052676
0.457,-0.994829853
0.458,-0.622965051
0.459,0.321650946
0.46,0.970542547
0.461,0.727121806
0.462,-0.18481137
0.463,-0.926829824
0.464,-0.816725213
0.465,0.044272793
0.466,0.864566597
0.467,0.889981859
0.468,0.097151904
0.469,-0.784999063
0.47,-0.945425512
0.471,-0.236632105
0.472,0.689719768
0.473,0.981946467
0.474,0.371376113
0.475,-0.580635727
0.476,-0.998813757
0.477,-0.498687026
0.478,0.459930258
0.479,0.995689783
0.48,0.616016714
0.481,-0.330019281
0.482,-0.972637071
0.483,-0.721016823
0.484,0.193502967
0.485,0.930117022
0.486,0.811585776
0.487,-0.053113689
0.488,-0.868980673
0.489,-0.885910834
0.49,-0.08833866
0.491,0.790451671
0.492,0.942504381
0.493,0.228022909
0.494,-0.696101773
0.495,-0.980233696
0.496,-0.363143279
0.497,0.587819394
0.498,0.998343627
0.499,0.490995334
0.5,-0.467771805
0.501,-0.996471704
0.502,-0.609020113
0.503,0.338361761
0.504,0.974655392
0.505,0.714855351
0.506,-0.202179403
0.507,-0.933331346
0.508,-0.806382754
0.509,0.061950424
0.51,0.873326668
0.511,0.881770401
0.512,0.079518494
0.513,-0.795842349
0.514,-0.939509407
0.515,-0.219395849
0.516,0.702429241
0.517,0.978444126
0.518,0.354881994
0.519,-0.594957007
0.52,-0.997795279
0.521,-0.483265173
0.522,0.475576704
0.523,0.997175553
0.524,0.601975797
0.525,-0.346677731
0.526,-0.976597352
0.527,-0.708637871
0.528,0.21084
0.529,0.936472548
0.53,0.801116554
0.531,-0.070782305
0.532,-0.877604239
0.533,-0.877560883
0.534,-0.070692098
0.535,0.801170676
0.536,0.936440825
0.537,0.210751599
0.538,-0.708701676
0.539,-0.976577898
0.54,-0.346592904
0.541,0.602048007
0.542,0.997168757
0.543,0.475497151
0.544,-0.483344343
0.545,-0.997801277
0.546,-0.594884318
0.547,0.354966539
0.548,0.978462798
0.549,0.702364872
0.55,-0.219484077
0.551,-0.939540379
0.552,-0.795787589
0.553,0.07960864
0.554,0.881813053
0.555,0.873282611
0.556,0.061860164
0.557,-0.806436232
0.558,-0.933298876
0.559,-0.202090837
0.56,0.714918585
0.561,0.974635157
0.562,0.33827666
0.563,-0.609091838
0.564,-0.99646411
0.565,-0.467691874
0.566,0.491074113
0.567,0.998348826
0.568,0.587746232
0.569,-0.363227537
0.57,-0.980251584
0.571,-0.696036845
0.572,0.228110959
0.573,0.942534599
0.574,0.790396276
0.575,-0.088428739
0.576,-0.885952778
0.577,-0.868935919
0.578,-0.053023383
0.579,0.811638607
0.58,0.930083805
0.581,0.193414242
0.582,-0.721079483
0.583,-0.972616057
0.584,-0.329933913
0.585,0.616087948
0.586,0.995681392
0.587,0.459849955
0.588,-0.498765409
0.589,-0.998818157
0.59,-0.580562097
0.591,0.371460077
0.592,0.98196357
0.593,0.689654285
0.594,-0.236719969
0.595,-0.945454975
0.596,-0.784943037
0.597,0.097241909
0.598,0.890023093
0.599,0.864521149
0.6,0.044182448
0.601,-0.816777392
0.602,-0.926795865
0.603,-0.184722494
0.604,0.727183886
0.605,0.970520755
0.606,0.321565317
0.607,-0.62303579
0.608,-0.994820665
0.609,-0.451972009
0.61,0.506417628
0.611,0.999209233
0.612,0.573332477
0.613,-0.379663514
0.614,-0.983598622
0.615,-0.683217692
0.616,0.245310432
0.617,0.948301277
0.618,0.779428301
0.619,-0.106047461
0.62,-0.894023676
0.621,-0.860038646
0.622,-0.035338052
0.623,0.821852185
0.624,0.923435313
0.625,0.176016273
0.626,-0.733231316
0.627,-0.968349415
0.628,-0.313171527
0.629,0.629934819
0.63,0.993881997
0.631,0.444058651
0.632,-0.514030171
0.633,-0.999522024
0.634,-0.566057938
0.635,0.387837206
0.636,0.985156611
0.637,0.676727572
0.638,-0.253881677
0.639,-0.951073282
0.64,-0.773852498
0.641,0.114844704
0.642,0.897954215
0.643,0.855488762
0.644,0.026490887
0.645,-0.826862588
0.646,-0.920002412
0.647,-0.167296262
0.648,0.7392213
0.649,0.966102208
0.65,0.304753201
0.651,-0.636784493
0.652,-0.992865461
0.653,-0.436110503
0.654,0.521602441
0.655,0.999756506
0.656,0.55873905
0.657,-0.395980512
0.658,-0.986637417
0.659,-0.670184431
0.66,0.26243303
0.661,0.953770773
0.662,0.768216066
0.663,-0.123632949
0.664,-0.901814401
0.665,-0.850871852
0.666,-0.017641646
0.667,0.831808208
0.668,0.916497432
0.669,0.158563143
0.67,-0.745153368
0.671,-0.963779309
0.672,-0.296310998
0.673,0.643584278
0.674,0.991771137
0.675,0.428128186
0.676,-0.529133844
0.677,-0.999912659
0.678,-0.551376386
0.679,0.404092793
0.68,0.988040922
0.681,0.663588784
0.682,-0.270963822
0.683,-0.956393539
0.684,-0.762519447
0.685,0.132411508
0.686,0.905603934
0.687,0.846188279
0.688,0.008791023
0.689,-0.836688659
0.69,-0.912920646
0.691,-0.149817602
0.692,0.751027055
0.693,0.961380901
0.694,0.28784558
0.695,-0.65033364
0.696,-0.99059911
0.697,-0.420112327
0.698,0.536623792
0.699,0.999990472
0.7,0.543970523
0.701,-0.412173415
0.702,-0.989367017
0.703,-0.656941146
0.704,0.279473385
0.705,0.958941375
0.706,0.756763087
0.707,-0.141179693
0.708,-0.909322514
0.709,-0.841438409
0.71,6.02887E-05
0.711,0.841503557
0.712,0.909272336
0.713,0.141060322
0.714,-0.756841901
0.715,-0.958907171
0.716,-0.27935761
0.717,0.657032049
0.718,0.989349473
0.719,0.412063554
0.72,-0.544071696
0.721,-0.999989938
0.722,-0.536522042
0.723,0.420221745
0.724,0.990615598
0.725,0.650242038
0.726,-0.287961052
0.727,-0.961414079
0.728,-0.750947436
0.729,0.149936817
0.73,0.912969852
0.731,0.836622615
0.732,-0.008911596
0.733,-0.846252526
0.734,-0.905552787
0.735,-0.132291992
0.736,0.762597451
0.737,0.956358314
0.738,0.270847754
0.739,-0.663678982
0.74,-0.988022323
0.741,-0.403982496
0.742,0.551476974
0.743,0.999911058
0.744,0.529031526
0.745,-0.428237151
0.746,-0.991786566
0.747,-0.643491986
0.748,0.296426158
0.749,0.96381146
0.75,0.74507295
0.751,-0.158682194
0.752,-0.916545661
0.753,-0.831741274
0.754,0.017762204
0.755,0.850935194
0.756,0.901762291
0.757,0.123513296
0.758,-0.768293253
0.759,-0.953734529
0.76,-0.262316677
